step,total_cells,empty_sites,occupied_density,committed_cells,committed_density,undetermined_cells,undetermined_density,decommitted_cells,decommitted_density,uncommitted_cells,uncommitted_density,n_clusters_present,largest_cluster,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,cluster_4_size,cluster_5_size,cluster_6_size,cluster_7_size,T1,T2,I,R,M,K,S,seed
61,1149,1251,0.47875,1149,0.47875,0,0.0,0,0.0,0,0.0,7,397,397,178,203,6,174,165,26,0,1.039069836273874,1.2943496157705183,0.6062233484026102,0.7557533834965966,0.4602982725618281,0.5030489064679775,0.3486744240492653,101
62,1114,1286,0.4641666666666666,1114,0.4641666666666666,0,0.0,0,0.0,0,0.0,7,389,389,178,188,6,169,158,26,0,1.022630658302038,1.3078904803819615,0.6019368313958056,0.7444334795818383,0.4503016258815496,0.5039839200331097,0.3460708426881111,101
63,1087,1313,0.4529166666666667,1087,0.4529166666666667,0,0.0,0,0.0,0,0.0,7,384,384,176,181,6,163,153,24,0,1.0051378676697635,1.3270446398283655,0.5933109167570373,0.7357785082891682,0.4426969536746698,0.5019967191300486,0.3420925303528696,101
64,1036,1364,0.4316666666666666,1036,0.4316666666666666,0,0.0,0,0.0,0,0.0,7,372,372,169,172,6,149,147,21,0,0.9893672256771088,1.341416317308202,0.5828929229151268,0.7275875902786942,0.4370658289740209,0.5020829874842531,0.3388600583915501,101
65,986,1414,0.4108333333333333,986,0.4108333333333333,0,0.0,0,0.0,0,0.0,7,358,358,159,167,6,141,134,21,0,0.9731949503094638,1.3572535240037826,0.57278223518333,0.7205777861205767,0.437156767105955,0.4918152162580302,0.3347974391941833,101
66,918,1482,0.3825,918,0.3825,0,0.0,0,0.0,0,0.0,7,338,338,148,151,6,135,121,19,0,0.9585448512812136,1.3676626757035626,0.5677589266268215,0.7125953006787538,0.4284777993117504,0.485243485959284,0.3307211784652054,101
67,833,1567,0.3470833333333333,833,0.3470833333333333,0,0.0,0,0.0,0,0.0,7,316,316,132,134,6,126,106,13,0,0.9448504030808488,1.365647307943416,0.5588601297965718,0.7063723315901135,0.4174349332515887,0.476544676628452,0.3266896000452029,101
68,758,1642,0.3158333333333333,758,0.3158333333333333,0,0.0,0,0.0,0,0.0,7,284,284,121,118,6,119,98,12,0,0.9313881950426388,1.3590294223437331,0.5629595404991906,0.7063736292851805,0.4098964571402658,0.4779446102387095,0.3218904740428103,101
69,680,1720,0.2833333333333333,680,0.2833333333333333,0,0.0,0,0.0,0,0.0,7,257,257,110,95,6,110,90,12,0,0.9210601524247992,1.342788771455713,0.5702603458735632,0.6978708599223857,0.3951580469772351,0.4825636948831338,0.3176116836491688,101
70,600,1800,0.25,600,0.25,0,0.0,0,0.0,0,0.0,7,227,227,100,82,5,99,78,9,0,0.907935475121721,1.3265844563900833,0.5645133341658143,0.691708600953693,0.3855701275526126,0.4818908961023301,0.3130515805871186,101
71,545,1855,0.2270833333333333,545,0.2270833333333333,0,0.0,0,0.0,0,0.0,7,206,206,94,71,5,93,68,8,0,0.8963603840536385,1.3222510063526507,0.5603220050423601,0.6825480185440224,0.3758273309446573,0.4803626229199328,0.3080787926841117,101
72,497,1903,0.2070833333333333,497,0.2070833333333333,0,0.0,0,0.0,0,0.0,7,191,191,86,62,4,86,60,8,0,0.8845154823052563,1.3218535357051124,0.5554439366407222,0.6699079662462114,0.3664059146400825,0.4725747113424459,0.302678523732163,101
73,438,1962,0.1825,438,0.1825,0,0.0,0,0.0,0,0.0,7,170,170,77,54,2,73,56,6,0,0.8735927785604715,1.3110221737283798,0.5501250004819115,0.6621806207541323,0.3557103159620398,0.4762876763820866,0.2979673057993284,101
74,391,2009,0.1629166666666666,391,0.1629166666666666,0,0.0,0,0.0,0,0.0,7,153,153,67,51,1,65,49,5,0,0.8615061604823308,1.3037684239688714,0.5417609829362539,0.6598739813114212,0.3557441924152437,0.4643124360236379,0.2917532765168696,101
75,335,2065,0.1395833333333333,335,0.1395833333333333,0,0.0,0,0.0,0,0.0,7,136,136,49,43,1,57,44,5,0,0.849809153332439,1.287744230116368,0.5499532342362234,0.6644242941514862,0.3528593396024286,0.4433967424896699,0.2863057823078707,101
76,296,2104,0.1233333333333333,296,0.1233333333333333,0,0.0,0,0.0,0,0.0,7,119,119,44,40,1,49,38,5,0,0.8408239535994977,1.2803869423002172,0.5410487396921991,0.660729558437264,0.3587833153178072,0.4408788563295877,0.2804551149623287,101
77,260,2140,0.1083333333333333,260,0.1083333333333333,0,0.0,0,0.0,0,0.0,7,106,106,39,33,1,48,29,4,0,0.8336625172002042,1.2792151331346495,0.5387777583667078,0.6524146287395889,0.3469992321318397,0.4240134708181909,0.2753904729926198,101
78,212,2188,0.0883333333333333,212,0.0883333333333333,0,0.0,0,0.0,0,0.0,6,88,88,33,22,0,41,25,3,0,0.8261275345131602,1.2685037996273598,0.5486595893090236,0.6369709060662401,0.3157693584710472,0.4294803986640531,0.2717334399330433,101
79,175,2225,0.0729166666666666,175,0.0729166666666666,0,0.0,0,0.0,0,0.0,6,74,74,29,15,0,35,21,1,0,0.8202774625562014,1.2533084115925006,0.5463623066611607,0.6252457288032791,0.2873532541309483,0.4397164106594424,0.2670396104175032,101
80,151,2249,0.0629166666666666,151,0.0629166666666666,0,0.0,0,0.0,0,0.0,6,65,65,25,14,0,31,15,1,0,0.8137163040451234,1.2675714380455565,0.5281911516862681,0.6131070273672272,0.2916310009967075,0.4164624669462456,0.2613527225938628,101
81,122,2278,0.0508333333333333,122,0.0508333333333333,0,0.0,0,0.0,0,0.0,6,52,52,17,12,0,26,14,1,0,0.8061492634477027,1.2676135410714595,0.5498041184889333,0.6387634572581762,0.2961406856619442,0.4037490538786686,0.256214302250204,101
82,95,2305,0.0395833333333333,95,0.0395833333333333,0,0.0,0,0.0,0,0.0,6,41,41,13,9,0,19,12,1,0,0.8013899722773546,1.2528804421790551,0.548909142035868,0.6320097654390028,0.2933434559337113,0.4115032384470515,0.2514352733412042,101
83,74,2326,0.0308333333333333,74,0.0308333333333333,0,0.0,0,0.0,0,0.0,6,35,35,11,6,0,13,8,1,0,0.7978472912639087,1.2451185063932984,0.5058933034578434,0.5726032956287259,0.2793513138424059,0.4024109913404112,0.2456830822985305,101
84,54,2346,0.0225,54,0.0225,0,0.0,0,0.0,0,0.0,6,25,25,10,2,0,9,7,1,0,0.7946899999205975,1.2026249882331888,0.5230167989950677,0.5412756189957524,0.2405722819486202,0.4596286998435061,0.2420570739100741,101
85,35,2365,0.0145833333333333,35,0.0145833333333333,0,0.0,0,0.0,0,0.0,5,19,19,6,2,0,4,4,0,0,0.791630789459101,1.113866930807762,0.4405968669554195,0.497011127372871,0.2444311110929879,0.4327692606452789,0.2401771577275483,101
86,30,2370,0.0125,30,0.0125,0,0.0,0,0.0,0,0.0,5,19,19,4,1,0,3,3,0,0,0.7914101019165375,1.098768908310901,0.4164601914763074,0.4493516877559815,0.2244431127639127,0.3838735606133295,0.2370642080436832,101
87,26,2374,0.0108333333333333,26,0.0108333333333333,0,0.0,0,0.0,0,0.0,5,17,17,4,1,0,2,2,0,0,0.7866916423132403,1.1318322045031604,0.3662486544242208,0.4042113405063906,0.2254806092813624,0.3781492078274561,0.2308694209127376,101
88,20,2380,0.0083333333333333,20,0.0083333333333333,0,0.0,0,0.0,0,0.0,4,14,14,3,0,0,2,1,0,0,0.7839085303704986,1.1451460148456476,0.3613635269026564,0.3613010659806438,0.186465047083463,0.3469846108888226,0.2278785853099937,101
89,14,2386,0.0058333333333333,14,0.0058333333333333,0,0.0,0,0.0,0,0.0,3,11,11,1,0,0,2,0,0,0,0.7833902199713974,1.1126067909508337,0.3576774334217267,0.3575899963533304,0.1893812353411377,0.2221969398739372,0.2253598836605581,101
90,10,2390,0.0041666666666666,10,0.0041666666666666,0,0.0,0,0.0,0,0.0,2,9,9,1,0,0,0,0,0,0,0.7866722536917307,1.0937454970588196,0.2211169439950371,0.2210549861255933,0.193458467575871,0.2537302183309765,0.2251667161464729,101
91,5,2395,0.0020833333333333,5,0.0020833333333333,0,0.0,0,0.0,0,0.0,2,4,4,1,0,0,0,0,0,0,0.7731406033255929,0.8769209662936934,0.2265858637597827,0.2265558949864277,0.1982481872733985,0.3565304391433487,0.2201275884783473,101
92,5,2395,0.0020833333333333,5,0.0020833333333333,0,0.0,0,0.0,0,0.0,2,4,4,1,0,0,0,0,0,0,0.771516033079363,0.8948288696643238,0.2280400194825323,0.2280130475865128,0.1995220178824455,0.3575563146981233,0.2167937490996221,101
93,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,2,3,3,1,0,0,0,0,0,0,0.7746094386395433,0.8755191677811378,0.2334878572433696,0.2334586057367119,0.2042889608267108,0.4108540498450975,0.2153370160285707,101
94,4,2396,0.0016666666666666,4,0.0016666666666666,0,0.0,0,0.0,0,0.0,2,3,3,1,0,0,0,0,0,0,0.7734062893608834,0.931967251003024,0.2336377621345716,0.2336114357785797,0.2044214190326363,0.410967728291465,0.2102523978565909,101
95,3,2397,0.00125,3,0.00125,0,0.0,0,0.0,0,0.0,2,2,2,1,0,0,0,0,0,0,0.7741153955680035,0.9729013734425463,0.23256177446976,0.2325396022296948,0.2034744511559104,0.4927084862331994,0.2085088971086642,101
96,2,2398,0.0008333333333333,2,0.0008333333333333,0,0.0,0,0.0,0,0.0,2,1,1,1,0,0,0,0,0,0,0.7879182128276346,1.0199846271649853,0.2361029171306384,0.2360865886386541,0.2065947801168575,0.6601829503583347,0.2066145105503822,101
97,1,2399,0.0004166666666666,1,0.0004166666666666,0,0.0,0,0.0,0,0.0,1,1,1,0,0,0,0,0,0,0,0.7783130852095108,1.0241323882957585,0.2360051696919,0.235983016152928,0.2065051634597355,0.1652378592791119,0.2062918208457113,101
